Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket,Images
54,Roti Tiam,"Beralamat di Jl. MT Haryono No.83, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114.  Terdapat menu makanan dan minuman dengan berbagai rasa dan harga yang juga bervariasi ",Wisata Belanja,Kota Balikpapan,4.4,Oleh-Oleh,Gratis,Roti Tiam.png
55,Salak Kilo,"Jalan-jalan ke Balikpapan belum pas rasanya bila belum menyicipi kelezatan Cake salak Kilo. Buah Salak Balikpapan yang khas menjadikan cake ini begitu unik rasanya.  House of Serai Wangi sebagai dapur produksi dari aneka olahan salak sangat menyambut setiap tamu yang ingin melihat dan belajar proses produksi dari buah salak. Kunjungan-kunjungan dari beberapa instansi, dharma wanita, dan sekolah telah diterima di House of Serai Wangi. Semua ini sebagai bentuk kepedulian dan menularkan ilmu kepada orang lain",Wisata Belanja,Kota Balikpapan,4.7,Oleh-Oleh,Gratis,Salak Kilo.png
56,Komplex Ruko Bandar,Ruko Bandar merupakan kawasan café dan restoran yang terletak di pinggir Pantai dan masih berada di pusat kota Balikpapan,Wisata Kuliner,Kota Balikpapan,4.5,Restoran,Gratis,Komplex Ruko Bandar.png
57,Melawai,Masyarakat dapat duduk-duduk di sekitar Pantai sambil menikmati hembusan angin. Paling menarik di kawasan ini adalah saat air surut. Pengunjung akan melihat adanya gundukan tanah di tengah laut. Gundukan tersebut dikenal sebagai Pulau Babi yang disebut juga Pulau Tukung.,Wisata Kuliner,Kota Balikpapan,4.4,Restoran,Gratis,Melawai.png
58,Pasar Segar,"Pasar Segar merupakan Pasar Tradisional Modern Terbesar, Termodern, dan Terlengkap",Wisata Kuliner,Kota Balikpapan,4.4,Pasar,10000,Pasar Segar.png
59,Lapangan Merdeka,"Lapangan merdeka merupakan tempat berkumpul favorit di Balikpapan, hampir mirip dengan Taman kota bandung. Disini dilengkapi dengan jogging track jalan raya beraspal membuat lapangan merdeka menjadi tempat tujuan berolahraga untuk jogging, dan ini adalah olahraga ringan yang paling banyak di lakukan di lapangan merdeka",Wisata Kuliner,Kota Balikpapan,4.6,Lapangan,Gratis,Lapangan Merdeka.png
60,Restoran Dandito,"Menu andalan di restoran Dandito adalah kepiting saus Dandito. Bumbu dengan campuran tomat, jahe, gula merah, bawang, dan cabai. Tekstur sausnya kental berwarna merah, dengan paduan asam, manis, dan pedas.",Wisata Kuliner,Kota Balikpapan,4.5,Restoran,Gratis,Resto Dandito.png
61,Restoran Kenari,Hidangan kepiting rebus tampak berwarna merah segar dengan asap mengepul di atasnya. Tercium aroma gurih khas kepiting dari sajian ini. Dagingnya terasa cukup manis dan bertekstur lembut. Hidangan kepiting rebus ini juga diberi pelengkap saus kemerahan. Saus cocolan encer tersebut bercitarasa manis dan sedikit pedas.,Wisata Kuliner,Kota Balikpapan,4.3,Restoran,Gratis,Resto Kenari.png
62,Bambu Wanadesa,Tempat ini cocok untuk yang ingin piknik atau sekadar menenangkan pikiran.,Wisata Alam,Kota Balikpapan,4.5,Taman,5000,Bambu Wanadesa.png
63,Pantai Teluk Bayur,Destinasi itu memberikan suguhan kepada pengunjung untuk bisa menikmati suasana Pantai dari pagi hingga malam hari sambil menginap di vila ataupun tenda.,Wisata Bahari,Kota Balikpapan,4.6,Pantai,10000,Pantai Teluk Bayur.png
64,Pantai Nelayan,Pantai ini viewnya banyak pohon cemara yang menarik untuk pengunjung datang. ,Wisata Bahari,Kota Balikpapan,4.4,Pantai,15000,Pantai Nelayan.png
65,Labuan Cermin,"Labuan cermin merupakan objek wisata Berau yang menghadirkan danau dua rasa yaitu air tawar dan air asin. Selain memiliki dua rasa pada dananunya, pengunjung juga dapat menikmati keindahan danau dengan berkeliling menggunakan perahu yang dihargai Rp. 20.000 untuk setiap orang pada sekali keliling. Selama berkeliling menggunakan perahu, pengunjung akan disajikan dengan Pemandangan Alam yang indah dan hijau. Pada aat itu, pengunjung dapat melakukan kegiatan berfoto bersama dengan latar belakang danau dan juga pemandangan yang hijau.",Wisata Bahari,Kabupaten Berau,4.7,Danau,10000,Labuan Cermin.png
66,Pulau Derawan,"Pulau derawan merupakan objek wisata yang menyajikan keindahan bawah laut bagi pengunjungnya. Pulau derawan memiliki air laut yang sangat jernih hingga menampakan keindahan bawah lautnya. Selain itu, pengunjung dapat melakukan berbagai aktivitas seperti snorkeling dan diving di pulau derawan karena memiliki keindahan bawah laut yang luar biasa dan dilengkapi dengan biota laut tidak berbahay seperti hiu tutul dan penyu yang yang lucu. Kedua biota laut tersebut banyak ditemukan pada sekitaran pulau derawan dan akrab dengan manusia sehingga tidak akan membahayakan para pengunjung yang melakukan aktivitas dalam air.",Wisata Bahari,Kabupaten Berau,4.7,Pantai,Gratis,Pulau Derawan.png
67,Kakaban Island,"Kakaban islan merupakan salah satu objek wisata dari Berau yang menyajikan keindahan flora dan fauna yang ada pada laut, bahkan banyak juga biota laut langka yang bisa pengunjung lihat. Selain itu, pengunjung dapat menikmati pemandangan bawah laut tanpa harus menyelam karena objek wisata pulau kakaban memiliki air yang sangat jernih hingga menampakan keindahan bawah lautnya. Bagi pengunjung yang melakukan kegiatan air seperti berenang, menyelam, dan snorkeling juga bisa ditemani dengan ubur-ubur. Ubur-ubur yang terdapat pada pulau kakaban merupakan spesies yang tidak menyengat sehingga tidak membahayakan pengunjung yang melakukan aktivitas air.",Wisata Bahari,Kabupaten Berau,4.7,Pantai,10000,Kakaban Island.png
68,Teluk Sulaiman,"Objek wisata yang berasal dari Berau tersebut menampilkan pemandangan laut dengan Pantai berpasir putih. Selain itu, banyak sekali pepohonan yang ditanam pada pinggiran Pantai sehingga membuat Pantai tersebut menjadi rindang. Anda dapat berteduh dibawah pepohonan jika merasa kepanasan atau sekedar bersantai.",Wisata Bahari,Kabupaten Berau,4.7,Teluk,10000,Teluk Sulaiman.png
69,Pulau Maratua,"Objek wisata pulau Maratua dikenal sebagai objek wisata yang memiliki pasir putih dan panorama bawah laut yang indah. Pengunjung akan disajikan dengan keindahan koral dan biota laut yang bisa dilihat tanpa perlu menyelam karena memiliki air laut yang sangat jernih. Selain itu, pengunjung bisa menyewa peralatan snorkeling dan melihat berbagai spesies ikan serta spesies langka seperti Manta dan ikan Hiu. Saat mengunjungi pulau Maratua, pengunjung jug akan disajikan dengan pemandangan hutan Mangrove yang lebat.",Wisata Bahari,Kabupaten Berau,4.6,Pulau,20000,Pulau Maratua.png
70,Pulau Kaniungan,"Pulau Kaniungan merupakan salah satu objek wisata Berau yang menyajikan pasir putih dan bersih sebagai objek uTamanya. Meskipun tempat wisata tersebut bukan wisata Pantai yang besar dan luas, tetapi pengunjung tetap bisa dimanjakan dengan pemandangan indah dari laut dan angin laut yang menyegarkan. Pengunjung dapat dengan santai menikmati liburan sambil bersantai di bawah pohon kelapa yang berada di pinggiran Pantai.",Wisata Bahari,Kabupaten Berau,4.8,Pulau,10000,Pulau Kaniungan.png
71,Pulau Nabucco,"Bagi Anda yang ingin menikmati liburan bersama dengan santai layaknya sedang berlibur di Pantai Bali, Anda dapat mengunjungi objek wisata pulau Nabucco. Selain itu, pengunjung dapat menikmati keindahan Pantai sambil beristirahat pada tempat-tempat teduh yang berada di pinggiran Pantai. Tidak luput juga tempat makan yang menawarkan beragam hidangan laut dan hidangan lokal yang memiliki cita rasa enak.",Wisata Bahari,Kabupaten Berau,4.5,Pulau,15000,Pulau Nabucco.png
72,Pulau Sangalaki,"Pulau sangalaki merupakan wisata Pantai sekaligus wisata edukasi yang dapat memberikan wawasan. Pengunjung tidak hanya disajikan dengan keindahan alam dan panorama Pantai yang hijau dan menyegarkan, tetapi pengunjung juga bisa mempelajari mengenai penyu dan perkembangbiakan penyu karena ditempat tersebut banyak ditemukan penangkaran penyu yang membantu proses perkembangbiakan penyu.",Wisata Bahari,Kabupaten Berau,4.8,Pulau,10000,Pulau Sangalaki.png
73,Air Panas Asin Biatan,"Objek wisata yang menyajikan air panas asin dengan Pemandangan Alam yang indah sebagai objek uTamanya. Pada objek wisata tersebut, banyak ditemukan spot bagus yang dapat digunakan sebagai latar belakang berfoto. Selain itu, pengunjung juga dapat merendam kaki pada air panas tersebut untuk menghilangkan rasa lelah sejenak.",Wisata Alam,Kabupaten Berau,4.1,Pemandian Air Panas,10000,Air Panas Asin Biatan.png
74,Air Terjun Pahlawan,Objek wisata air terjun pahlawan merupakan objek wisata yang menyajikan wisata air terjun dengan pemandangan hijau yang alami sebagai latar belakangnya. Air yang turun dari juga memiliki rasa yang menyegarkan dan rasa dingin sehingga akan membuat Anda merasa nyaman saat merendamkan kaki. Pengunjung dapat berfoto dengan latar belakang air terjun serta pemandangan hijau yang indah.,Wisata Alam,Kabupaten Berau,4,Air Terjun,5000,Air Terjun Pahlawan.png
75,Air Terjun Jenum,"Air terjun jenum merupakan objek wisata Berau yang terletak di kawasan kampong Merasa. Objek wisata air terjun jenum merupakan objek wisata yang menyajikan keindahan alam serta air terjun yang luar biasa dengan air jernih yang mengalir dari atas. Selain itu, pemandangan selama perjalanan menuju air terjun jenum juga memiliki pemandangan yang indah dan asri juga udara sejuk yang dapat menenangkan pikiran.",Wisata Alam,Kabupaten Berau,4,Air Terjun,5000,Air Terjun Jenum.png
76,Goa Mulut Besar,"Objek goa mulut besar disebut juga dengan goa kelelawar karena dulu merupakan sarang bagi para kelelawar. Pengunjung bisa dengan bebas mengeksplorasi kedalam gua karena saat ini tidak ada lagi kelelawar yang menghuni objek wisata tersebut. Selain itu juga, pengunjung dapat melihat beragam batu alam cantik yang dapat ditemukan dalam gua. Pengunjung tidak hanya bisa menikmati keindahan gua saja, tetapi juga terdapat Pantai dengan keindahan yang luar biasa dan angina sejuk yang bisa dinikmati.",Wisata Alam,Kabupaten Berau,3.8,Goa,5000,Goa Mulut Besar.png
77,Danau Telaga Biru,"Danau telaga biru merupakan salah satu objek wisata Berau yang menyajikan keindahan serta kejernihan air danau. Pengunjung akan bisa melihat air danau yang jernih dan juga berwarna biru sehingga menampakan pemandangan bawah danau dengan jelas. Selain itu, pengunjung juga akan ditemani dengan Pemandangan Alami yang ada di sekitar danau. Fasilitas wisata yang disediakan pada objek wisata danau telaga biru adalah wisata perahu mengelilingi danau. Selain itu, pengunjung juga bisa menikmati kegiatan berenang dan menyewa peralatan snorkeling. Bukan hanya itu saja, pengunjung juga bisa mencoba flying fox melintasi telaga.",Wisata Bahari,Kabupaten Berau,4,Danau,10000,Danau Telaga Biru.png
78,Manimbora Beach,"Pulau Manimbora merupakan salah satu objek wisata Berau yang menyajikan pemandangan air laut yang biru, keindahan pohon kelapa, serta pasir putih yang bersih dan mengkilat. Pulau Manimbora menjadi objek wisata yang cocok bagi Anda yang ingin mendapatkan ketenangan dan kedamaian sambil ditemani Pemandangan Alam.",Wisata Bahari,Kabupaten Berau,4.9,Pantai,5000,Manimbora Beach.png
79,Pulau Biduk-Biduk,"Pulau biduk-biduk dikenal sebagai pulau berpasir putih yang berasal dari terumbu karang. Terumbu karang tersebut merupakan terumbu karang yang sudah hancur dan berkumpul menjadi satu hingga membentuk sebuah daratan. Bagi para pengunjung, akan lebih baik jika berjalan sekitaran pulau tanpa menggunakan alas kaki karena rasa pasirnya akan sangat berbeda.",Wisata Bahari,Kabupaten Berau,4.3,Pantai,20000,Pulau Biduk-Biduk.png
80,Museum Batiwakkal,Museum Batiwakkal merupakan rumah keluarga Keraton Kesultanan Gunung Tabur. Di dalamnya tersimpan koleksi barang-barang peninggalan keluarga Kesultanan Gunung Tabur pada masa kejayaannya. Bentuk arsitektur bangunannya mirip dengan Keraton Kesultanan Sambaliung.,Wisata Sejarah,Kabupaten Berau,4,Museum,10000,Museum Batiwakkal.png
81,Keraton Kesultanan Sambaliung,"Keraton Kesultanan Sambaliung dapat dijadikan alternatif wisata sejarah. Sambil berlibur, sambil belajar sejarah kota Tanjung Redeb. Keraton Kesultanan Sambaliung adalah bukti sejarah dari keberadaan Kesultanan Sambaliung. Di dalamnya banyak ditemukan Tugu prasasti peninggalan Kesultanan Sambaliung.",Wisata Sejarah,Kabupaten Berau,4,Sejarah,10000,Keraton Kesultanan Sambaliung.png
82,Air Terjun Tembalang,"Banyak digemari wisatawan lokal karena selain menyuguhkan pemandangan yang indah juga terdapat dikelilingi pepohonan rindang sehingga nuansa sejuk dan alam sangat kental.
Udara yang segar dan suasana yang asri serta damai menjadikan wisata bahari ini cocok sebagai lokasi berlibur akhir pekan untuk menghilangkan kejenuhan setelah beraktivitas seminggu. Sesampainya di Air Terjun Tembalang, Anda akan disambut dengan pemandangan air terjun, sungai-sungai bebatuan, ikan-ikan, serta hutan yang masih asri.",Wisata Bahari,Kabupaten Berau,4,Air Terjun,5000,Air Terjun Tembalang.png
83,Puncak Ketepu,"Puncak Ketepu cocok sebagai destinasi berpetualang di alam dengan jalur yang menantang. Lokasinya berada di Pegunungan Karst, dekat dengan Danau Nyadeng.",Wisata Alam,Kabupaten Berau,4.3,Puncak,5000,Puncak Ketepu.png
84,Kampung Merabu,"Kampung merabu teretak kurang lebih 130 km dari ibukota tanjung redeb kab. Berau, atau sekitar 3 jam perjalanan lewat darat dengan kendaraan roda empat, ada beberapa obyek wisata alam yang bisa anda nikmati di Kampung merabu. Bagi pecinta wisata alam anda dapat menikmati suasana alam hutan dan sungai-sungai kecil didalamnya sepanjang perjalanan menuju obyek. Diantaranya Sungai Nyadeng dan Gunung Karts. Sungai nyadeng sendiri memiliki air  berwarna hijau yang jernih dan sejuk, airnya bersumber dari pegunungan karst yang ada di merabu.",Wisata Alam,Kabupaten Berau,3.9,Kampung,Gratis,Kampung Merabu.png
85,Masjid Agung Baitul Hikmah,"Masjid Agung Baitul Hikmah merupakan masjid terbesar dan termegah di Kabupaten Berau, dan tentu saja menambah khasazah deretan masjid masjid megah di provinsi Kalimantan Timur, sebut saja diantara yang lainnya adalah Masjid Agung Nurul Falah di Tanah Grogot Kabupaten Paser dan Masjid Islamic Center Samarindah yang ketiga tiga memiliki kemiripan arsitektur.",Wisata Religi,Kabupaten Berau,4.8,Tempat Ibadah,Gratis,Masjid Agung Baitul Hikmah.png
86,Sungai Segah,Sungainya panjang dan lebar.. Airnya tenang. Banyak berlabuh kapal batubara. Lewat percis di wilayah Berau. Orang asli Berau menyebut Sungai Teluk Bayur. Malam hari banyak kaki lima untuk santai . Nyaman dan relax,Wisata Bahari,Kabupaten Berau,4.4,Sungai,2000,Sungai Segah.png
87,Mangrove tanjung batu,"Hutan Mangrove di Kampung Tanjung Batu memiliki luasan wilayah sekitar 3.7 hektar yang terbagi menjadi 2 track. Track pertama, tak begitu panjang, yang akan mengantar kita ke arah Pusat Informasi Mangrove. Saat ini bangunan yang mengusung tema rumah panggung sudah berdiri. Nantinya, bangunan inilah yang akan berfungsi sebagai Pusat Informasi Mangrove. Akan ada ruang pamer pajang dan ruang informasi tentang Mangrove yang ada di hutan Mangrove Kampung Tanjung Batu. Setidaknya ada 42 jenis Mangrove yang tumbuh di sini dan ada yang sudah berusia ratusan tahun. Nantinya di sini juga akan berdiri rumah adat dan kedai makan serta minuman. Sementara track kedua, dengan panjang 1.2 kilometer, lebih disebut sebagai jogging track.
",Wisata Alam,Kabupaten Berau,4.3,Mangrove,5000,Mangrove Tanjung Batu.png
88,Laut Talisayan,"Objek wisata di Kaltim ini sebelumnya tidak begitu dikenal oleh banyak wisatawan, namun karena keseriusan pemerintah untuk memperbanyak objek wisata di Kabupaten Berau akhirnya diperhatikan juga potensi Pantai Talisayan. Cukup menarik dengan hamparan pasir putihnya yang begitu luas serta air lautnya yang cukup bersih bisa menjadi alternatif destinasi wisata buat kalian yang ingin liburan di Pantai. Selain itu Pantai Talisayan memiliki cukup banyak spot-spot pemancingan terutama di kawasan yang banyak bebatuan karangnya.",Wisata Bahari,Kabupaten Berau,4.7,Pantai,10000,Laut Talisayan.png
89,Danau Sigending,"di dalam perairan Teluk Sigending kamu bisa berenang atau bersnorkeling bersama dengan penyu-penyu besar. Tempat wisata di Kalimantan Timur yang tepatnya masih di dalam wilayah Kecamatan Biduk-Biduk ini memang cukup terkenal dengan habitat penyu yang berkeliaran di pinggiran Pantainya. Sepertinya tak perlu jauh-jauh ke Pulau Derawan mungkin ya, kamu juga bisa menikmati keindahan terumbu karang yang dihuni oleh banyaknya ikan yang berwarna-warni di Teluk Sigending. Ada hal menarik juga ketika kamu berada di Teluk Sigending yang dikelilingi hutan bakau, yakni kamu bisa melihat sekawanan bekantan yang tak jarang juga menampakkan diri di pinggiran hutan bakau.",Wisata Bahari,Kabupaten Berau,4.8,Danau,5000,Danau Sigending.png
90,Pantai Marina,"Wisata Pantai ini memiliki arena bermain yang cukup banyak dan berbagai perahu untuk olahraga sailing. Lokasi wisata ini agak tersembunyi karena berada di kawasan Marina PT Badak NGL. Cukup dengan tiket masuk 10 ribu rupiah saja Anda sudah dapat menikmati keindahan alam ini, buka 24 jam setiap hari.",Wisata Bahari,Kota Bontang,4,Pantai,10000,Pantai Marina.png
91,Pulau Gusung," Pulau yang kecil ini menawarkan sejuta keindahan yang bisa dijadikan tempat rehat sejenak. Untuk mencapai pulau ini Anda bisa mengendarai kapal boat dari Pelabuhan Loktuan atau Pelabuhan Tanjung Limau. Lama perjalanan memakan waktu 20-25 menit saja. Selama perjalanan, Anda akan disuguhkan dengan berbagai Pemandangan Alam yang indah dan beberapa pabrik disekitar pulau. Pada malam hari, pemandangan yang ditawarkan akan semakin indah dengan hiasan lampu neon yang menawan.",Wisata Alam,Kota Bontang,4.3,Pantai,200000,Pulau Gusung.png
92,Pulau Beras Basah,"Keindahan pulau ini tidak dapat diragukan lagi karena banyak orang yang mengatakan bahwa pulau ini surganya Bontang. Tidak heran jika banyak orang yang ingin berkunjung dan melihat surga Bontang yang indah ini.
",Wisata Alam,Kota Bontang,4.5,Pantai,10000,Pulau Beras Basah.png
93,Pantai Segajah,Dasar laut pulau ini sangat indah sehingga sangat cocok digunakan untuk snorkeling dan berenang. Jika Anda tidak memiliki alat yang lengkap maka bisa menyewa pada beberapa penyedia jasa yang ada di sekitar Pantai. Pulau ini tidak hanya menawarkan beberapa keindahan alam saja namun juga berbagai pedagang kuliner juga turut serta dalam wisata.,Wisata Bahari,Kota Bontang,4.5,Pantai,5000,Pantai Segajah.png
94,Desa Selangan dan Tihi-Tihi,"Sebuah desa yang terletak di Selatan Kota Bontang, tengah-tengah selat Makasar, Kalimantan Timur ini menawarkan berbagai keindahan yang menarik. Mulai dari wilayahnya yang asri dan sejuk, hingga aneka kuliner khas daerah yang sayang sekali untuk dilewatkan. Penduduk setempat yang menjadi nelayan sellau membawa pulang hasil lau yang bisa dinikmati oleh semua pengunjung. Tidak hanya ikan saja, namun berbagai hasil laut seperti rumput laut, tripang dan abalon juga ada di desa ini.",Wisata Buatan,Kota Bontang,4,Kampung,Gratis,Desa Tihi-Tihi.png
95,Bontang Kuala,"Kampung terapung yang ada di tengah laut ini sangat bersih dan rapi. Tidak heran jika banyak orang yang ingin berkunjung kesini sekedar untuk berlibur dan menikmati nuansa alam yang masih alami. Bersama keluarga Anda dapat menyewa penginapan sederhana yang ada dirumah penduduk.
Berbagai menu kuliner yang bukan hanya seputar seafood juga ada di sini. Beberapa camilan seperti gorengan, kue dan aneka makanna khas juga turut menambah semarak menu yang ada di Bontang Kuala ini.",Wisata Buatan,Kota Bontang,4,Kampung,Gratis,Bontang Kuala.png
96,Taman Nasional Kutai,"Sebuah Taman wisata yang memiliki luas sekitar 200 ribu hektar. Taman Nasional ini memiliki aneka flora dan fauna asli yang dipelihara dengan cukup baik. Aneka fauna yang ada di Taman Nasional ini sebagian besar berupa kelompok monyet. Berbagai jenis monyet tersebut antara lain beruk, bekantan, orang utan, kera ekor panjang, kukang dan owa kalimantan.",Wisata Alam,Kota Bontang,4.3,Taman,10000,Taman Nasional.png
97,Bontang Mangrove Park,"Ada ratusan jenis tanaman yang bisa dijadikan sebagai bahan ajar. Hutan ini sering mendapat kunjungan para pelajar dan mahasiswa guna sebagai media bahan ajar yang dapat dimanfaatkan secara langsung.
Tidak hanya khusus untuk para pelajar dan mahasiswa, masyarakat umum yang ingin menikmati hutan ini juga bisa masuk dengan mudah",Wisata Alam,Kota Bontang,4.2,Mangrove,10000,Bontang Mangrove Park.png
98,Taman Cibodas,"wisata ini memiliki berbagai wahanan permainan anak seperti ayunan, putaran duduk, patung hewan yang bisa dinaiki, pesawat terbang dan kapal boat. Berbagai wahana ini bisa digunakan secara gratis dan tidak berbayar lagi setelah membayar tiket masuk. Anda bebas menggunakan bersama anak dan keluarga sambil mencicipi aneka kuliner yang ada di sekitar Taman.
Tempat wisata yang sangat akrab dengan rakyat ini selalu penuh pengunjung pada saat akhir pekan. Berbagai fasilitas yang lengkap membuat tempat ini tak pernah sepi pengunjung. Ada toilet yang bersih, mushola kecil, aneka kuliner dan lahan parkir yang luas.",Wisata Buatan,Kota Bontang,4.2,Taman,Gratis,Taman Cibodas.png
99,Taman Tanjung Laut,"Berbagai fasilitas umum yang ada di Taman ini cukup bisa memeriahkan suasana. Sebut saja ayunan, jungkat-jungkit, gazebo, jogging track hingga wifi gratis semua ada di sini. Lengkap dan irit, inilah salah satu keunggulan lain dari tempat wisata yang satu ini. Tidak heran jika banyak pengunjung yang berbondong-bondong datang ke Pulau ini sekedar untuk melepas lelah dan mengganti suasana.",Wisata Buatan,Kota Bontang,4.2,Taman,Gratis,Taman Tanjung Laut.png
100,"Erau Pelas Benua, Guntung","Daerah ini memiliki suasana sakral yang ditunjukkan dengan berbagai upacara adat yang dilakukan oleh warga setempat. Pemerintah secara sengaja menggunakan daerah ini sebagai salah satu tujuan wisata guna memberikan wawasan bagi para pengunjung. Harapannya tidak hanya alam saja yang menjadi sasaran wisata, namun juga aneka budaya yang ada di sekitar juga turut menjadi objek yang tidak boleh dilupakan.",Wisata Budaya,Kota Bontang,3.8,Pemandanagan Alam,Gratis,Erau Peras Benua.png
101,Cafe Singapore,"Restoran ini juga memiliki patung singa sebagai lambang negara Singapore. Tidak hanya menawarkan berbagai makan lezat dan enak, namun restoran ini juga menawarkan panorama yang indah dan menyenangkan.
Restoran ini dekat dengan tepi Pantai sehingga Anda bisa makan sekaligus melihat dan menyaksikan matahari tenggelam dari arah Pantai. Apabila Anda pesan tempat khusus yang dapat melihat matahari terbenam sambil duduk bersama hidangan maka moment tersebut akan lebih menakjubkan lagi.",Wisata Kuliner,Kota Bontang,4.4,Cafe,Gratis,Cafe Singapore.png
102,Lembah Permai,"Pada akhir pekan akan selalu banyak pengunjung yang meluangkan waktu untuk duduk dan berfoto bersama. Mereka nampak ceria dan tersenyum bahagia berada diantara bangunan wahana yang ada di restoran ini.
Fasilitas yang ditawarkan juga tak kalah menarik dengan yang lain. Ada wahana outbond, kolam renang, telaga buatan dan kolam yang berisi ikan koi yang sangat banyak. Beberapa ikan ini memiliki warna yang sangat indah sehingga jika Anda berfoto di sekitar kolam ikan ini akan terlihat sangat cantik. Apabila Anda suka melakukan gathering maka lokasi ini cocok untuk dijadikan tempat.",Wisata Buatan,Kota Bontang,4,Lembah,Gratis,Lembah Permai.png
103,Masjid Jami’ Adji Amir Hasanoeddin,"Bangunan bersejarah ini memiliki nilai budaya yang sangat tinggi. Tidak hanya tergambar dari segi arsiteknya saja namun juga berbagai fasilitas masjid seperti mimbar, menara, mihrab, dan tiang guru yang sarat akan budaya khas Kalimantan Timur. Sebuah masjid yang terinspirasi dari rumah adat ini sangat bagus dan berkharisma.",Wisata Religi,Kota Bontang,4.6,Tempat Ibadah,Gratis,Masjid Jami.png
104,Graha Mangrove,"Lokasi wisata ini menawarakn berbagai wahana menarik yang sangat asik untuk dikunjungi. Beberapa diantaranya ada banana boat, jet ski, perahu dayung dan aneka peralatan pancing. Tidak hanya itu saja, berbagai pemadangan Pantai dan beberapa rumah apung akan menambah meriah suasana santai Anda. Liburan akan lebih asik dan menarik jika Anda mengajak sahabat dan kerabat dekat untuk menikmati hari libur di Graha Mangrove ini.",Wisata Buatan,Kota Bontang,4.1,Mangrove,5000,Graha Mangrove.png
105,Hutan Pinus Samboja,"Hutan Pinus Samboja ini menyuguhkan jajaran pohon pinus yang menjulang tinggi sehingga membuat pemandangan yang khas.
Banyak wisatawan yang datang kesini karena ingin menikmati suasananya yang masih asri dan segar, karena wisata ini sendiri berada di kawasan pegunungan. Sehingga sangat cocok bagi Anda yang ingin mencari udara segar dan terbebas dari polusi perkotaan.",Wisata Alam,Kota Bontang,4.3,Pemandangan Alam,5000,Hutan Pinus Samboja.png
106,Bukit Biru,"Bukit Biru merupakan salah satu spot terbaik yang bisa Anda gunakan untuk referensi spot foto. Jika tertarik untuk datang ke wisata ini, disarankan Anda datang saat senja atau sore hari, karena pemandangan yang disuguhkan begitu indah dan cocok sekali untuk foto instagenik.
Tak hanya itu, objek wisata yang berada di Bontang ini juga cocok bagi Anda yang suka berpetualang karena terdapat jalur pendakian gunung.",Wisata Alam,Kota Bontang,4.4,Bukit,5000,Bukit Biru.png
107,Kenari Waterpark,"Kenari Waterpark sudah cukup populer di masyarakat Bontang, karena memiliki berbagai fasilitas wahana air yang lengkap. Wahana air yang cukup lengkap dan menantang, membuat tempat wisata ini cocok dikunjungi saat masa liburan tiba bersama keluarga.
Kolam renang yang ada di destinasi wisata ini juga dikategorikan berdasarkan usia mulai dari anak anak hingga dewasa, demi menghindari segala kejadian yang tidak diinginkan.",Wisata Buatan,Kota Bontang,4.4,Kolam Renang,35000,Kenari Waterpark.png
108,Teluk Kaba,"Teluk Kaba menyuguhkan panorama alamnya yang segar dan indah. Di objek wisata ini juga tersedia berbagai fasilitas outdoor seperti snorkeling, camping, menjelajah hutan, serta tracking.
Teluk Kaba sangat cocok bagi para wisatawan yang sangat menyukai alam serta memiliki jiwa petualangan yang kuat. Meski begitu tempat wisata ini menjadi salah satu destinasi favorit wisatawan yang datang ke Bontang.",Wisata Alam,Kota Bontang,4.5,Teluk,15000,Teluk Kaba.png
109,Pondok Rindu Alam 77 Bontang,"Pondok Rindu Alam 77 Bontang juga menawarkan Pemandangan Alam perbukitan yang sejuk dengan beragam spot foto yang kekinian. Oleh sebab itulah banyak pengunjung yang datang untuk menikmati suasana menenangkan dan terbebas dari hiruk pikuk perkotaan, sambil memanfaatkan spot kekinian tersebut sebagai pengalaman tak terlupakan.",Wisata Buatan,Kota Bontang,4,Bukit,10000,Pondok Rindu.png
110,Hutan Lindung Mangrove BSD Bontang,"Taman Mangrove ini cukup untuk menjadi hiburan warga yang butuh dengan suasana adem, nyaman, asri dan juga suasana alami oleh banyaknya pohon bakau.
Di hutan Mangrove satu ini, terdapat hewan Musang dan Iguana yang sengaja di pelihara untuk menambah suasana wisata para pengunjung. Kawasan Mangrove yang adem dan nyaman bagi anak-anak, tak ayal Taman wisata alam Mangrove BSD banyak dijadikan sebagai tempat wisata liburan keluarga. Sangat disayangkan, bila anda berada di Kota Bontang tidak datang mengunjungi tempat ini.",Wisata Alam,Kota Bontang,4.2,Mangrove,5000,Hutan Lindung Mangrove.png
111,Jam Bentong,"Jam Bentong khususnya TBM dibuka dari Senin-Jumat pada pukul 08.00-16.00 WIT dan dibuka secara gratis bagi yang ingin mengunjunginya. Karena menjadi tempat membaca, TBM dilengkapi banyaknya buku-buku mulai dari buku pelajaran sekolah sampai novel ataupun komik. Buku-buku tersebut boleh disewa untuk dibaca di tempat yang sudah disediakan dan tidak boleh dibawa pergi/pulang.",Wisata Buatan,Kota Bontang,4.1,Ikon Kota,Gratis,Jam Bentong.png
